"node","time","Ssows","Isows","Sgilts","Igilts","Spiglets","Ipiglets","Sgrowers","Igrowers","Sfinish","Ifinish","pentype","section","countdown","phi"
398,730,0,0,0,0,0,0,0,7,0,0,8,6,99999,0
399,730,0,0,0,0,0,0,0,9,0,0,8,6,99999,0
400,730,0,0,0,0,0,0,0,15,0,0,8,6,99999,0
401,730,0,0,0,0,0,0,0,13,0,0,8,6,99999,0
402,730,0,0,0,0,0,0,0,8,0,0,8,6,99999,0
403,730,0,0,0,0,0,0,0,9,0,0,8,6,99999,0
404,730,0,0,0,0,0,0,0,16,0,0,8,6,99999,0
405,730,0,0,0,0,0,0,0,6,0,0,8,6,99999,0
406,730,0,0,0,0,0,0,0,16,0,0,8,6,99999,0
407,730,0,0,0,0,0,0,0,8,0,0,8,6,99999,0
408,730,0,0,0,0,0,0,0,0,0,0,8,6,99999,0
409,730,0,0,0,0,0,0,0,0,0,0,8,6,99999,0
410,730,0,0,0,0,0,0,0,0,0,0,8,6,99999,0
411,730,0,0,0,0,0,0,0,8,0,0,8,7,99999,0
412,730,0,0,0,0,0,0,0,11,0,0,8,7,99999,0
